Trainning ...
Done traning
error = 0.2729060013149977
error = 0.2575760605801262
error = 0.2567486969121718
error = 0.2560071671341216
error = 0.25530529950349995
error = 0.25456398689844795
error = 0.25363376345143046
error = 0.25222502688228404
error = 0.24978611358083394
error = 0.2452756107113081
error = 0.23745049807375307
error = 0.227384564571632
error = 0.2172865000454497
error = 0.2018437680019508
error = 0.18615798278320256
error = 0.17629583050064868
error = 0.16994343099083536
error = 0.16544790718083754
error = 0.16204118526997396
error = 0.159349765868781
error = 0.15716719074375665
error = 0.15536327511806775
error = 0.15385129286830562
error = 0.15257537237131652
error = 0.1514989940395334
error = 0.1505953741294356
error = 0.1498411233172696
error = 0.14921324082699455
error = 0.14868939377767282
error = 0.14824951435781134
error = 0.14787683869162419
error = 0.14755802100623464
error = 0.14728271800990336
error = 0.1470430189481881
error = 0.14683289862512586
error = 0.14664774573294104
error = 0.1464839742838226
error = 0.14633871812187485
error = 0.1462096072200181
error = 0.14609461897218842
error = 0.14599198971187236
error = 0.14590016678242715
error = 0.14581778250564997
error = 0.1457436368378982
error = 0.14567668187212338
error = 0.14561600604164596
error = 0.14556081823545228
error = 0.14551043266229363
error = 0.14546425510660127
error = 0.14542177083595836
error = 0.14538253412675586
error = 0.14534615922568486
error = 0.1453123125238583
error = 0.14528070573774501
error = 0.14525108993015712
error = 0.14522325024493898
error = 0.14519700126199608
error = 0.14517218290284137
error = 0.14514865683194883
error = 0.14512630330801987
error = 0.14510501844403967
error = 0.14508471183739574
error = 0.1450653045327544
error = 0.14504672728155923
error = 0.14502891906342613
error = 0.1450118258365013
error = 0.14499539948608575
error = 0.14497959694337118
error = 0.14496437944889778
error = 0.14494971193819287
error = 0.14493556252985063
error = 0.14492190209899622
error = 0.14490870392155777
error = 0.14489594337702066
error = 0.14488359769933531
error = 0.14487164576738512
error = 0.1448600679279227
error = 0.14484884584514526
error = 0.14483796237214386
error = 0.1448274014403531
error = 0.14481714796384265
error = 0.1448071877559012
error = 0.14479750745584413
error = 0.1447880944643631
error = 0.14477893688606883
error = 0.14477002347811155
error = 0.14476134360399337
error = 0.1447528871918263
error = 0.14474464469644238
error = 0.14473660706485153
error = 0.14472876570464172
error = 0.1447211124549686
error = 0.14471363955985184
error = 0.14470633964352927
error = 0.1446992056876573
error = 0.14469223101018452
error = 0.1446854092457327
error = 0.14467873432735903
error = 0.14467220046957016
error = 0.1446658021524928
error = 0.1446595341070968
error = 0.14465339130139404
error = 0.14464736892753233
error = 0.14464146238972245
error = 0.14463566729292815
error = 0.14462997943227077
error = 0.1446243947830925
error = 0.14461890949163114
error = 0.14461351986626964
error = 0.14460822236931078
error = 0.14460301360925018
error = 0.1445978903335074
error = 0.144592849421589
error = 0.14458788787865137
error = 0.14458300282943845
error = 0.1445781915125711
error = 0.14457345127516208
error = 0.14456877956773917
error = 0.1445641739394543
error = 0.14455963203356048
error = 0.14455515158314422
error = 0.14455073040708805
error = 0.14454636640626137
error = 0.14454205755991162
error = 0.144537801922258
error = 0.1445335976192616
error = 0.14452944284557206
error = 0.14452533586163363
error = 0.14452127499094455
error = 0.1445172586174579
error = 0.14451328518311862
error = 0.14450935318552563
error = 0.1445054611757136
error = 0.14450160775604753
error = 0.14449779157822193
error = 0.1444940113413604
error = 0.14449026579020843
error = 0.1444865537134161
error = 0.1444828739419015
error = 0.14447922534729468
error = 0.1444756068404562
error = 0.14447201737006518
error = 0.14446845592127228
error = 0.14446492151441512
error = 0.14446141320379569
error = 0.14445793007650876
error = 0.1444544712513262
error = 0.14445103587762828
error = 0.14444762313438353
error = 0.14444423222917188
error = 0.14444086239724935
error = 0.14443751290065257
error = 0.14443418302734043
error = 0.14443087209036967
error = 0.14442757942710482
error = 0.1444243043984602
error = 0.14442104638816836
error = 0.14441780480208025
error = 0.144414579067488
error = 0.14441136863247586
error = 0.14440817296529265
error = 0.1444049915537464
error = 0.14440182390462103
error = 0.14439866954311206
error = 0.14439552801228103
error = 0.1443923988725266
error = 0.14438928170107512
error = 0.14438617609148313
error = 0.14438308165315814
error = 0.14437999801089094
error = 0.14437692480440292
error = 0.1443738616879047
error = 0.14437080832966714
error = 0.14436776441160323
error = 0.1443647296288618
error = 0.14436170368942974
error = 0.14435868631374427
error = 0.14435567723431475
error = 0.14435267619535372
error = 0.1443496829524124
error = 0.1443466972720302
error = 0.1443437189313861
error = 0.14434074771796016
error = 0.1443377834292
error = 0.1443348258721956
error = 0.1443318748633598
error = 0.1443289302281139
error = 0.14432599180057834
error = 0.14432305942327373
error = 0.1443201329468197
error = 0.14431721222964689
error = 0.1443142971377064
error = 0.14431138754419223
error = 0.14430848332926133
error = 0.14430558437976276
error = 0.14430269058896875
error = 0.14429980185631522
error = 0.1442969180871393
error = 0.1442940391924266
error = 0.1442911650885645
error = 0.144288295697092
error = 0.14428543094446133
error = 0.14428257076180165
error = 0.14427971508468487
error = 0.14427686385289823
error = 0.14427401701021805
error = 0.14427117450419175
error = 0.1442683362859208
error = 0.14426550230984794
error = 0.14426267253354874
error = 0.14425984691752883
error = 0.1442570254250215
error = 0.14425420802179262
error = 0.14425139467594858
error = 0.14424858535774546
error = 0.14424578003940539
error = 0.144242978694935
error = 0.14424018129994787
error = 0.14423738783148987
error = 0.14423459826786902
error = 0.14423181258848788
error = 0.14422903077367946
error = 0.14422625280454884
error = 0.1442234786628124
error = 0.144220708330646
error = 0.14421794179053307
error = 0.14421517902511577
error = 0.14421242001704931
error = 0.14420966474885882
error = 0.1442069132027996
error = 0.14420416536071712
error = 0.1442014212039124
error = 0.144198680713007
error = 0.14419594386781087
error = 0.14419321064719184
error = 0.1441904810289465
error = 0.14418775498967254
error = 0.14418503250464235
error = 0.14418231354767647
error = 0.1441795980910193
error = 0.1441768861052146
error = 0.14417417755898063
error = 0.14417147241908657
error = 0.14416877065022846
error = 0.14416607221490235
error = 0.1441633770732817
error = 0.1441606851830884
error = 0.14415799649946603
error = 0.14415531097485032
error = 0.14415262855883762
error = 0.14414994919805107
error = 0.14414727283600598
error = 0.144144599412969
error = 0.14414192886581853
error = 0.14413926112789696
error = 0.14413659612886082
error = 0.1441339337945292
error = 0.14413127404672252
error = 0.14412861680309838
error = 0.14412596197698388
error = 0.14412330947719615
error = 0.14412065920786177
error = 0.14411801106822475
error = 0.14411536495244953
error = 0.14411272074941273
error = 0.14411007834248724
error = 0.14410743760931563
error = 0.1441047984215733
error = 0.1441021606447204
error = 0.14409952413773966
error = 0.14409688875286106
error = 0.1440942543352748
error = 0.14409162072282686
error = 0.14408898774569515
error = 0.14408635522605404
error = 0.14408372297771413
error = 0.14408109080574588
error = 0.14407845850607592
error = 0.14407582586506515
error = 0.1440731926590565
error = 0.1440705586539004
error = 0.14406792360444456
error = 0.14406528725399606
error = 0.14406264933375
error = 0.1440600095621755
error = 0.14405736764436922
error = 0.14405472327136007
error = 0.14405207611937035
error = 0.1440494258490266
error = 0.1440467721045142
error = 0.14404411451267632
error = 0.14404145268204707
error = 0.14403878620181657
error = 0.14403611464072136
error = 0.14403343754585526
error = 0.14403075444138674
error = 0.14402806482719
error = 0.1440253681773626
